Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Date,State,TotalSamples,Negative,Positive
85,09-03-2020,6:00 PM,Delhi,4,0,0,0,4,10-04-2021,India,99069354,8710763,58594,87411872,11657482,,,,8678151,90391202,,17965,,,,10115743,37138666,40137437,45508111,41893575,10186,06-08-2020,Andaman and Nicobar Islands,26516,,1123
86,10-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,11-04-2021,India,102000401,9729980,63648,90111528,11888873,,,,8865852,93134548,,18061,,,,10150663,38924746,41016044,46895781,43205152,10595,07-08-2020,Andaman and Nicobar Islands,26915,,1222
87,10-03-2020,6:00 PM,Ladakh,2,0,0,0,2,12-04-2021,India,105970539,10664088,71554,93559587,12410952,,,,9117558,96852980,,18211,,,,10214478,41124841,42200133,48669828,44878560,11199,08-08-2020,Andaman and Nicobar Islands,27073,,1351
88,10-03-2020,6:00 PM,Delhi,4,0,0,0,4,13-04-2021,India,108598289,10046908,67834,95823614,12774675,,,,9279181,99319107,,18349,,,,10261853,42580769,42960830,49885738,45926378,11498,09-08-2020,Andaman and Nicobar Islands,27103,,1490
89,10-03-2020,6:00 PM,Haryana,0,2,0,0,2,14-04-2021,India,111913288,10786962,69832,98703696,13209592,,,,9632303,102280984,,18419,,,,10329252,44385712,43968484,51361929,47329847,11920,10-08-2020,Andaman and Nicobar Islands,27346,,1625
90,10-03-2020,6:00 PM,Karnataka,4,0,0,0,4,15-04-2021,India,114598026,9771019,66284,100853671,13744355,,,,9850203,104747822,,18511,,,,10393324,45715162,44724878,52488916,48352489,12266,11-08-2020,Andaman and Nicobar Islands,27455,,1764
91,10-03-2020,6:00 PM,Kerala,15,0,3,0,15,16-04-2021,India,117305344,9780485,66381,102927296,14378048,,,,10178643,107126700,,18664,,,,10469609,46998499,45438828,53575244,49339504,12548,12-08-2020,Andaman and Nicobar Islands,27744,,1900
92,10-03-2020,6:00 PM,Maharashtra,5,0,0,0,5,17-04-2021,India,119971369,8521217,60057,104950409,15020960,,,,10555424,109415944,,18764,,,,10546237,48281098,46102623,54647827,50289664,12918,13-08-2020,Andaman and Nicobar Islands,27973,,2037
93,10-03-2020,6:00 PM,Punjab,1,0,0,0,1,18-04-2021,India,121207098,8395934,58212,105896430,15310668,,,,10711610,110495487,,18788,,,,10573998,48885888,46416081,55151208,50732172,13050,14-08-2020,Andaman and Nicobar Islands,28129,,2186
94,10-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,19-04-2021,India,124457162,10632658,73506,108178574,16278588,,,,11106751,113350410,,18896,,,,10717276,50242630,47198108,56358692,51806475,13407,15-08-2020,Andaman and Nicobar Islands,28209,,2306
95,10-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,20-04-2021,India,127428887,10163007,71051,110165234,17263653,,,,11515707,115913179,,18976,,,,10827001,51441470,47876178,57420010,52731510,13714,16-08-2020,Andaman and Nicobar Islands,28229,,2399
